reason,source_doc,reference_page,raw_office,payee,description,amount,detail
duplicate_rows_advisory,112sdoc10,906,SENATOR RICHARD J. DURBIN,,LEGISLATIVE CORRESPONDENT,"19,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,926,SENATOR MICHAEL B. ENZI,,FIELD REPRESENTATIVE,"32,191.61",appears 2x on same page
duplicate_rows_advisory,112sdoc10,927,SENATOR MICHAEL B. ENZI,,INTERN-DC FROM JUN. 4 TO AUG. 24,"4,320.00",appears 3x on same page
duplicate_rows_advisory,112sdoc10,927,SENATOR MICHAEL B. ENZI,,INTERN-DC FROM SEP. 10,"1,120.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,941,SENATOR DIANNE FEINSTEIN,,FIELD REPRESENTATIVE,"24,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,941,SENATOR DIANNE FEINSTEIN,,LEGISLATIVE ASSISTANT,"39,999.96",appears 3x on same page
duplicate_rows_advisory,112sdoc10,942,SENATOR DIANNE FEINSTEIN,,FIELD REPRESENTATIVE,"24,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,942,SENATOR DIANNE FEINSTEIN,,LEGISLATIVE CORRESPONDENT,"18,999.96",appears 4x on same page
duplicate_rows_advisory,112sdoc10,942,SENATOR DIANNE FEINSTEIN,,ASSISTANT FIELD REPRESENTATIVE,"22,500.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,942,SENATOR DIANNE FEINSTEIN,,LEGISLATIVE ASSISTANT,"39,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,942,SENATOR DIANNE FEINSTEIN,,CONSTITUENT SERVICES REPRESENTATIVE,"18,999.96",appears 4x on same page
duplicate_rows_advisory,112sdoc10,942,SENATOR DIANNE FEINSTEIN,,STAFF ASSISTANT,"15,999.96",appears 7x on same page
duplicate_rows_advisory,112sdoc10,973,SENATOR KIRSTEN GILLIBRAND,,REGIONAL ASSISTANT,"15,499.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,973,SENATOR KIRSTEN GILLIBRAND,,REGIONAL ASSISTANT,"16,499.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,973,SENATOR KIRSTEN GILLIBRAND,,LEGISLATIVE CORRESPONDENT,"20,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1019,SENATOR CHARLES E. GRASSLEY,,LEGISLATIVE ASSISTANT,"54,162.48",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1019,SENATOR CHARLES E. GRASSLEY,,REGIONAL DIRECTOR,"30,862.44",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1035,SENATOR KAY HAGAN,,LEGISLATIVE CORRESPONDENT,"18,499.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1035,SENATOR KAY HAGAN,,LEGISLATIVE AIDE,"23,500.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1051,SENATOR TOM HARKIN,,STAFF ASSISTANT,"20,499.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1051,SENATOR TOM HARKIN,,STAFF ASSISTANT FROM JUN. 25,"8,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1062,SENATOR ORRIN G. HATCH,,INTERN TO MAY. 4,"1,463.88",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1062,SENATOR ORRIN G. HATCH,,INTERN FROM MAY. 14 TO AUG. 17,"4,047.20",appears 5x on same page
duplicate_rows_advisory,112sdoc10,1062,SENATOR ORRIN G. HATCH,,INTERN FROM AUG. 20,"1,765.26",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1062,SENATOR ORRIN G. HATCH,,INTERN FROM AUG. 27,"1,463.88",appears 4x on same page
duplicate_rows_advisory,112sdoc10,1062,SENATOR ORRIN G. HATCH,,INTERN FROM AUG. 28,"1,136.65",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1070,SENATOR DEAN HELLER,,LEGISLATIVE CORRESPONDENT,"20,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1070,SENATOR DEAN HELLER,,REGIONAL REPRESENTATIVE,"21,000.30",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1070,SENATOR DEAN HELLER,,LEGISLATIVE ASSISTANT,"42,500.30",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1077,SENATOR JOHN HOEVEN,,INTERN TO MAY. 4,535.29,appears 2x on same page
duplicate_rows_advisory,112sdoc10,1086,SENATOR KAY BAILEY HUTCHISON,,SPECIAL ASSISTANT,"21,249.94",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1086,SENATOR KAY BAILEY HUTCHISON,,STAFF ASSISTANT,"16,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1086,SENATOR KAY BAILEY HUTCHISON,,STAFF ASSISTANT FROM SEP. 17,"1,283.33",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1100,SENATOR JAMES M. INHOFE,,SUMMER SESSION TWO INTERN FROM JUL. 2 TO AUG. 3,"1,999.99",appears 4x on same page
duplicate_rows_advisory,112sdoc10,1100,SENATOR JAMES M. INHOFE,,SUMMER INTERN (SESSION ONE) FROM MAY. 29 TO JUN. 29,"1,937.48",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1118,SENATOR DANIEL K. INOUYE,,LEGISLATIVE ASSISTANT,"43,090.45",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1123,SENATOR JOHNNY ISAKSON,,SENIOR FIELD REPRESENTATIVE,"24,156.25",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1160,SENATOR MIKE JOHANNS,,INTERN FROM MAY. 29 TO AUG. 10,"3,311.98",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1176,SENATOR TIM JOHNSON,,LEGISLATIVE ASSISTANT,"37,399.80",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1176,SENATOR TIM JOHNSON,,LEGISLATIVE ASSISTANT,"32,774.28",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1177,SENATOR TIM JOHNSON,,INTERN FROM JUL. 2 TO AUG. 10,"1,299.99",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1189,SENATOR RON JOHNSON,,REGIONAL DIRECTOR,"24,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1189,SENATOR RON JOHNSON,,CONSTITUENT SERVICES REPRESENTATIVE,"15,000.00",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1190,SENATOR RON JOHNSON,,INTERN FROM MAY. 21 TO JUN. 29,"1,462.48",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1190,SENATOR RON JOHNSON,,INTERN FROM JUL. 2 TO AUG. 10,"1,462.48",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1236,SENATOR AMY KLOBUCHAR,,OUTREACH DIRECTOR,"23,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1237,SENATOR AMY KLOBUCHAR,,STAFF ASSISTANT,"17,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1255,SENATOR HERBERT H. KOHL,,REGIONAL REPRESENTATIVE,"39,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1273,SENATOR JON KYL,,LEGISLATIVE CORRESPONDENT,"18,500.08",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1273,SENATOR JON KYL,,LEGAL INTERN TO MAY. 11,535.26,appears 2x on same page
duplicate_rows_advisory,112sdoc10,1273,SENATOR JON KYL,,LEGAL INTERN FROM MAY. 14 TO AUG. 3,"1,999.99",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1307,SENATOR PATRICK J. LEAHY,,SUMMER INTERN FROM MAY. 21 TO AUG. 15,"5,194.40",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1317,SENATOR MIKE LEE,,LEGISLATIVE ASSISTANT,"23,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1318,SENATOR MIKE LEE,,INTERN TO MAY. 4,"1,652.76",appears 4x on same page
duplicate_rows_advisory,112sdoc10,1318,SENATOR MIKE LEE,,INTERN TO APR. 27,"1,312.48",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1318,SENATOR MIKE LEE,,INTERN FROM MAY. 14 TO AUG. 3,"3,888.85",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1318,SENATOR MIKE LEE,,INTERN FROM AUG. 20,"1,366.66",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1318,SENATOR MIKE LEE,,INTERN FROM AUG. 20,"1,594.43",appears 4x on same page
duplicate_rows_advisory,112sdoc10,1318,SENATOR MIKE LEE,,INTERN FROM AUG. 20,"1,993.03",appears 3x on same page
